"type";"nano"
"TCP";3755000
"TCP";3076000
"TCP";2581000
"TCP";2606000
"TCP";2676000
"TCP";2616000
"TCP";2616000
"TCP";2712000
"TCP";4462000
"TCP";2841000
"TCP";12603000
"TCP";2901000
"TCP";3792000
"TCP";5931000
"TCP";3508000
"TCP";2592000
"TCP";2491000
"TCP";2856000
"TCP";4956000
"TCP";2601000
"TCP";2958000
"TCP";8677000
"TCP";2779000
"TCP";2916000
"TCP";2463000
"TCP";3027000
"TCP";2857000
"TCP";4250000
"TCP";3114000
"TCP";2684000
"TCP";3617000
"TCP";2630000
"TCP";10268000
"TCP";2971000
"TCP";2534000
"TCP";2598000
"TCP";2632000
"TCP";2611000
"TCP";4052000
"TCP";2653000
"TCP";2884000
"TCP";3393000
"TCP";6941000
"TCP";3569000
"TCP";2648000
"TCP";2687000
"TCP";2898000
"TCP";2917000
"TCP";2582000
"TCP";2872000
"TCP";2845000
"TCP";2871000
"TCP";2591000
"TCP";3165000
"TCP";2962000
"TCP";2615000
"TCP";2579000
"TCP";6761000
"TCP";9980000
"TCP";2589000
"TCP";3384000
"TCP";2981000
"TCP";12677000
"TCP";3416000
"TCP";4531000
"TCP";3597000
"TCP";3740000
"TCP";5292000
"TCP";2627000
"TCP";2867000
"TCP";7732000
"TCP";2591000
"TCP";3987000
"TCP";4624000
"TCP";3816000
"TCP";2734000
"TCP";2655000
"TCP";3191000
"TCP";2838000
"TCP";3867000
"TCP";2604000
"TCP";4365000
"TCP";2611000
"TCP";3374000
"TCP";2628000
"TCP";3934000
"TCP";2873000
"TCP";3529000
"TCP";2924000
"TCP";3730000
"TCP";3634000
"TCP";3821000
"TCP";2623000
"TCP";4140000
"TCP";3139000
"TCP";3041000
"TCP";2473000
"TCP";4496000
"TCP";3588000
"TCP";4975000
"TCP";9960000
"TCP";2686000
"TCP";3578000
"TCP";2725000
"TCP";5334000
"TCP";10779000
"TCP";3152000
"TCP";2678000
"TCP";3247000
"TCP";2608000
"TCP";3205000
"TCP";4039000
"TCP";3392000
"TCP";4233000
"TCP";2593000
"TCP";3012000
"TCP";6017000
"TCP";2668000
"TCP";4209000
"TCP";3336000
"TCP";3753000
"TCP";2589000
"TCP";2622000
"TCP";2655000
"TCP";2591000
"TCP";2916000
"TCP";4625000
"TCP";2953000
"TCP";2590000
"TCP";2613000
"TCP";2603000
"TCP";2808000
"TCP";2584000
"TCP";2648000
"TCP";2842000
"TCP";2868000
"TCP";2618000
"TCP";2791000
"TCP";4153000
"TCP";3213000
"TCP";6575000
"TCP";2781000
"TCP";3753000
"TCP";2791000
"TCP";3362000
"TCP";2606000
"TCP";2686000
"TCP";3228000
"TCP";3723000
"TCP";8660000
"TCP";5789000
"TCP";2614000
"TCP";2917000
"TCP";2667000
"TCP";4161000
"TCP";3461000
"TCP";2737000
"TCP";2563000
"TCP";8535000
"TCP";3846000
"TCP";3721000
"TCP";5152000
"TCP";6444000
"TCP";3825000
"TCP";16636000
"TCP";2589000
"TCP";3554000
"TCP";3153000
"TCP";3392000
"TCP";2985000
"TCP";7576000
"TCP";2743000
"TCP";5017000
"TCP";8001000
"TCP";2551000
"TCP";3993000
"TCP";2756000
"TCP";2570000
"TCP";5865000
"TCP";2709000
"TCP";2523000
"TCP";2678000
"TCP";2865000
"TCP";2592000
"TCP";4140000
"TCP";2921000
"TCP";2621000
"TCP";2645000
"TCP";2596000
"TCP";3103000
"TCP";3755000
"TCP";3389000
"TCP";2680000
"TCP";2832000
"TCP";2868000
"TCP";2614000
"TCP";4896000
"TCP";2671000
"TCP";2652000
"TCP";4911000
"TCP";2761000
"TCP";3393000
"TCP";3046000
"TCP";4190000
"TCP";2709000
"TCP";4187000
"TCP";2732000
"TCP";3015000
"TCP";2912000
"TCP";3988000
"TCP";3545000
"TCP";2592000
"TCP";3086000
"TCP";5839000
"TCP";3698000
"TCP";6394000
"TCP";6313000
"TCP";5397000
"TCP";3507000
"TCP";3189000
"TCP";2631000
